INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
B68R12 ,,1,,CTA29183 ,50489749,1
B68SAR120 ,,3,,CTD12201 ,50489657,1
B68S68 ,,8,,CTD29134 ,50489772,1
B7DA30 ,50060946,12,,CTD29138 ,50489756,8
B7DA35 ,50169671,16,,CTD31698 ,50489426,16
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,11,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
CTD31806 ,50484476,27,,CTR25821 ,50488493,11
CTD35287 ,50489608,5,,CTR25822 ,50488626,4
CTD35290 ,50484591,21,,CTR30125 ,50493857,1
CTD36969 ,50533926,6,,CTR30126 ,50493840,2
CTD38374 ,50489533,26,,CTR30138 ,50533884,73
CTD39498 ,50489350,2,,CTR30787 ,50505395,6
CTD41490 ,50489517,53,,CTR30788 ,50505403,8
CTD41582 ,50489509,5,,CTR31685 ,50509983,3
CTD42199 ,50489590,1,,CTR32198 ,50506402,9
CTD42201 ,50489632,16,,CTR32981 ,50604669,3
CTD42203 ,50484401,9,,CTR33866 ,50631076,1
CTD42205 ,50489731,1,,CTR36330 ,50715481,1
CTD43509 ,50484542,1,,CTT50182 ,50488469,5
CTD43510 ,50489400,20,,CT195‐2100 ,50484500,6
CTD43513 ,50489392,6,,CT32830 ,50489483,99
CTD43618 ,50484526,5,,CT40011 ,50489673,18
CTD43619 ,50484534,1,,C04‐289A ,3173747,1
CTD43790 ,50484450,9,,C04‐318 ,3173812,7
CTD43908 ,50489475,7,,C1DHD325A ,50156611,8
CTD43909 ,50489467,7,,C1JR38 ,,1
CTD45906 ,50484419,3,,C10 ,50174986,7
CTD45907 ,50484427,3,,C10‐292A ,3181963,1
CTD46104 ,50484435,5,,C10‐294A ,3181997,1
CTD46109 ,50484484,11,,C10‐545 ,3182227,1
CTD95144 ,50489624,4,,C10‐546 ,3182243,3
CTR25544 ,50489459,3,,C1027CM2 ,50080704,10
CTR25602 ,50488410,7,,C106 ,50171016,17
CTR25610 ,50488428,13,,C1137CM ,50114412,32
CTR25806 ,50488477,18,,C123 ,50097252,33
CTR25807 ,50488501,1,,C124 ,50171081,99
CTR25809 ,50488527,1,,C13DHD325A ,50156660,2
CTR25810 ,50488535,2,,C131FM4 ,50134931,1
CTR25811 ,50488543,2,,C134 ,50171107,1
CTR25812 ,50488550,6,,C135 ,50171115,99
CTR25813 ,50488568,16,,C138 ,50171149,99
CTR25814 ,50488576,2,,C140JR38 ,,10
CTR25815 ,50488584,12,,C140RP38 ,50002864,15
CTR25816 ,50488592,6,,C15JR300 ,50311752,12
CTR25817 ,50488600,14,,C15N70 ,,3
CTR25819 ,50488634,6,,C150JA45 ,,1
CTR25820 ,50488485,11,,C150S68 ,,3
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,12,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
C151S70 ,,12,,C529DA35 ,,4
C157X71WD ,50225317,12,,C53JA45 ,,1
C169DA35 ,50165653,10,,C53JR38 ,,20
C18 ,50174846,49,,C53L74 ,50162205,4
C210DA30 ,50057611,15,,C53N70 ,50157015,14
C229URD550 ,50364405,7,,C53R58 ,50070473,4
C234JR38B ,50022870,1,,C53SBR85 ,50108414,14
C237JR38B ,50225481,1,,C53S70 ,50173921,8
C238R51 ,,1,,C530HBD ,,2
C224R48 ,50011873,4,,C56 ,50173236,1
C245JR38B ,50024777,1,,C56L74 ,,3
C257FM2 ,,3,,C56N75 ,50157163,23
C259R39 ,,12,,C56X72 ,50069921,6
C27JA45 ,,50,,C569PB8A ,50202076,25
C27X71 ,50045954,89,,C58L74 ,,1
C289JA45 ,,4,,C58R51 ,,1
C289JA55 ,,7,,C59L74 ,,1
C289X71 ,50073683,1,,C6CA‐422 ,3371952,4
C290JA45 ,50015668,18,,C6CA15‐R791 ,3410529,5
C299X71WD ,50073741,1,,C6H20A‐A352 ,3243250,1
C321‐606 ,3081817,2,,C6H20A‐A45 ,3242336,1
C327LPF ,50250984,3,,C6H20A‐A526 ,3244746,6
C33 ,50173145,2,,C6H20A‐B501 ,3383627,2
C35 ,50173152,10,,C6H20A‐B516 ,3244670,2
C371HBD ,50034826,57,,C6H20A‐103 ,3242559,99
C376R48 ,50012053,8,,C6H20A‐390 ,3243813,3
C379PB8A ,50008234,4,,C6H20A‐393 ,3243862,4
C41 ,50173178,7,,C6H20A‐424 ,3244035,18
C42FM2 ,50155902,61,,C6H20A‐467 ,3244472,3
C46CM ,50125533,1,,C6H20A‐507 ,3244589,6
C486HBD ,50038496,4,,C6H20A‐509 ,3244597,36
C49JA55 ,50008572,8,,C6H20A‐510 ,3244613,19
C49JB4 ,,1,,C6H20A‐518 ,3244704,8
C49S49 ,,1,,C6H20A‐519 ,3244712,21
C49S68 ,,4,,C6H20A‐525 ,3244738,3
C50DB30 ,50051044,10,,C6H20A‐548 ,3244845,7
C50D475 ,,1,,C6H20A‐85 ,3242419,3
C50JA45 ,50014588,24,,C6H20A‐945S ,3374790,2
C50JB4 ,,1,,C6H20A28‐753 ,3245255,1
C50J30 ,50011113,1,,C6H20A28‐754 ,3245271,3
C51DC35 ,50162833,1,,C6H40A22‐R790 ,3247582,3
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,13,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
C6H40A22‐R791 ,3368321,3,,DG10‐278 ,3571262,14
C614DA35 ,,1,,DG10‐283 ,3571270,49
C616DA35 ,50165828,40,,DG10‐3 ,3571007,6
C637DA30 ,50056399,3,,DG10‐311 ,3571312,3
C637DA35 ,50165844,5,,DG10‐402 ,3571130,1
C64DB30 ,50051143,3,,DG10‐405 ,3571148,1
C64D45 ,50005511,4,,DG10‐42‐3 ,3571205,8
C64J30 ,50011709,1,,DG10‐50 ,3571213,28
C64J50 ,50004183,6,,DG10‐51 ,3571221,27
C64R48 ,,5,,DG10‐51‐5 ,3801859,12
C64S49 ,,4,,DG100‐A290‐G2 ,3805462,1
C647R38A ,50073212,8,,DG100‐3 ,3784402,1
C66R38 ,50045590,3,,DG110‐700‐G4 ,3641602,1
C68D505 ,50018993,2,,DG111‐3 ,3641834,8
C683D45 ,50012806,1,,DG120‐A3 ,3645355,6
C76 ,50173269,99,,DG120‐290 ,3640968,2
C81 ,50173293,34,,DG120‐402 ,3641289,2
C82JB5 ,50008986,2,,DG120‐53 ,3640943,1
C83 ,50173319,1,,DG120‐699 ,3641008,4
C84 ,50170927,99,,DG121‐700‐M8 ,3641321,1
C86 ,50170935,1,,DG130‐A3 ,3645488,2
C901JR38 ,50019918,2,,DG131‐A3 ,3645496,1
C94DA30 ,50059112,4,,DG131‐53 ,3641867,1
C954CM150A ,50201839,1,,DG140‐311 ,,1
DA20‐11787‐02 ,50100775,1,,DG20‐A12 ,3576873,1
DA20‐35016‐02 ,50098631,2,,DG20‐A53 ,3577608,1
DA30 ,,1,,DG20‐103 ,3576956,99
DA35 ,,1,,DG20‐20 ,3577145,3
DD6FM1 ,50207067,1,,DG20‐207 ,3576980,41
DD6FM1‐A516 ,3408093,2,,DG20‐22 ,3576931,10
DD6FM1‐501 ,3368412,5,,DG20‐278 ,3576949,7
DD6FMI‐511 ,3408002,4,,DG20‐40 ,3577178,2
DD6FM1‐545 ,,6,,DG20‐701‐G4 ,3566601,4
DD6FM1‐546 ,50296318,5,,DG20‐701‐G6 ,3566619,1
DD6FM1‐928 ,3368479,2,,DG20‐739 ,3577152,3
DE‐97A ,,1,,DG21‐A53 ,3630696,1
DG10‐A12 ,3571791,1,,DG21‐3 ,3630654,2
DG10‐A266 ,3571247,12,,DG21‐42‐4 ,3630688,3
DG10‐112 ,3571155,1,,DG21‐53 ,3630712,1
DG10‐120 ,3571320,7,,DG21‐701‐M6 ,3579273,1
DG10‐22 ,3571338,12,,DG21‐701‐M8 ,3579265,60
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,14,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
DG220‐152 ,3769288,2,,DLC‐545 ,3196797,1
DG220‐311 ,3769148,1,,DLC‐740 ,3197159,2
DG220‐51 ,3769312,2,,DLC‐988 ,3197720,2
DG230‐22 ,3829786,3,,DLC‐991 ,3197738,3
DG30‐A266 ,3578945,3,,DLC‐993 ,3197761,17
DG30‐152 ,3578408,6,,DLC‐997 ,3197787,4
DG30‐184 ,3578424,4,,DLC2‐319 ,3196359,10
DG30‐19 ,3578689,5,,DLC2‐357 ,3196433,5
DG30‐20 ,3578449,3,,DLC3‐319 ,3196367,14
DG30‐278 ,3623618,4,,DLC3‐357 ,3196441,18
DG30‐278‐5 ,3801883,3,,DLC7‐981 ,3197639,3
DG30‐283 ,3578507,56,,DRC‐622 ,3196920,9
DG30‐3 ,3578572,4,,DRC10‐640 ,3196953,1
DG30‐311 ,3582384,33,,DU‐A574 ,3174828,1
DG30‐42‐4 ,3578390,4,,DU‐K572 ,,1
DG30‐50 ,3578358,3,,DU‐319 ,3174463,5
DG30‐51 ,3578416,7,,DU‐364 ,3174471,5
DG30‐67 ,3578366,4,,DU‐365 ,3174497,2
DG30‐51‐5 ,3801891,2,,DU‐551 ,,2
DG31‐53 ,3624079,1,,DU‐556 ,3174612,1
DLC‐A913B ,3613346,4,,DU‐561 ,3174638,1
DCL‐1001 ,3197795,1,,DU‐562 ,50307495,7
DLC‐1003 ,3197837,3,,DU‐568 ,3174737,5
DLC‐1004 ,3197845,3,,DU‐572 ,3174786,6
DLC‐120 ,3196037,29,,DU‐573 ,3174802,1
DLC‐1277 ,3198074,1,,DU‐578 ,3174976,8
DLC‐1282 ,3198108,2,,DU‐583 ,3174935,31
DCL‐1287 ,3198132,5,,DU‐584 ,3174943,10
DLC‐238 ,3196060,9,,DU‐589 ,3174984,7
DLC‐246 ,3196102,6,,DU‐593 ,3175007,1
DLC‐248 ,3196128,2,,DU‐710 ,3175346,6
DLC‐252 ,3196151,44,,DU‐944 ,3175395,3
DLC‐268 ,3166250,10,,DV300‐3055 ,3492121,1
DLC‐343 ,3196417,1,,DV300L‐3067 ,3492204,10
DLC‐424 ,3196532,2,,DV300L‐711 ,3636198,99
DLC‐439 ,3196615,6,,DV350‐709 ,,10
DLC‐504B ,3196664,99,,D0F9‐879 ,3123999,7
DLC‐505A ,3196672,9,,D00‐357A ,3163722,3
DLC‐511 ,3196706,5,,D01‐A316B ,3306198,5
DLC‐514 ,3196714,4,,D01‐180 ,3163136,15
DLC‐541 ,3196763,36,,D01‐222 ,3163151,3
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,15,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
D01‐224 ,3163201,10,,D01‐905 ,3166105,3
D01‐247 ,3163334,9,,D01‐942 ,,1
D01‐254 ,3163367,2,,D01‐944 ,3166212,26
D01‐255 ,3163383,27,,D01‐946 ,3166261,27
D01‐316B ,3163607,1,,D01C‐377A ,3163946,12
D01‐337 ,3163631,29,,D02‐A505A ,3612652,4
D01‐341A ,3163656,24,,D02‐A513D ,3613288,15
D01‐352 ,3163664,4,,D02‐1379 ,3170644,4
D01‐357A ,3163730,9,,D02‐180 ,3166790,2
D01‐358 ,3163748,5,,D02‐303A ,3167095,4
D01‐363A ,3163771,1,,D02‐308 ,3167145,1
D01‐364B ,3163813,8,,D02‐312 ,3167152,7
D01‐373 ,3163904,9,,D02‐316A ,3167160,5
D01‐379A ,3164118,10,,D02‐317 ,3167178,1
D01‐380 ,3164126,4,,D02‐321 ,3167194,10
D01‐393 ,3164274,5,,D02‐385 ,3167616,9
D01‐395 ,3164290,12,,D02‐389 ,3167640,6
D01‐422D ,3164373,5,,D02‐390 ,3167665,18
D01‐424A ,3164399,1,,D02‐393 ,3167707,11
D01‐430A ,3164472,3,,D02‐394 ,3167723,1
D01‐442 1/6 ,3164498,8,,D02‐395 ,3167731,4
D01‐506 ,3164860,70,,D02‐411A ,3167814,4
D01‐507 ,3164878,12,,D02‐418A ,3167897,12
D01‐509A ,3164902,34,,D02‐419 ,3167905,28
D01‐51A ,3709078,99,,D02‐422A ,3167939,1
D01‐510 ,3164928,32,,D02‐422B ,3167954,2
D01‐519A ,3165076,1,,D02‐424C ,3503158,9
D01‐525AS ,3165131,1,,D02‐435A ,3168218,3
D01‐526A ,3165172,8,,D02‐440B ,3168317,31
D01‐527 ,3165198,10,,D02‐501A ,,1
D01‐534 ,,3,,D02‐504 ,,4
D01‐535 ,,3,,D02‐506 ,3168960,18
D01‐540A ,3165230,2,,D02‐507 ,3168978,3
D01‐546A ,3165354,1,,,3169018,1
D01‐555 ,,7,,D02‐513B ,3169042,1
D01‐555A ,3165396,1,,D02‐523 ,3169174,27
D01‐592A ,3165552,1,,D02‐525AS ,3169190,1
D01‐792 ,3165990,31,,D02‐526 ,3169224,2
D01‐793 ,3166006,40,,D02‐527 ,3169240,5
D01‐795 ,3166014,60,,D02‐546A ,3169349,2
D01‐873 ,3166097,6,,D02‐553 ,3169380,7
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,16,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
D02‐556 ,3169414,1,,D10‐H505A ,3612900,7
D02‐793 ,3169687,33,,D10‐K516 ,3834074,2
D02‐825 ,3169828,7,,D10‐L505A ,3613429,7
D02‐827A ,3703311,2,,D10‐225 ,3177565,2
D02‐830 ,3169893,4,,D10‐227 ,3176625,2
D02‐831 ,3169901,2,,D10‐238 ,3176641,4
D02‐834A ,3169943,1,,D10‐247 ,3176765,4
D02‐844 ,3170040,7,,D10‐248 ,3176773,4
D02‐849A ,3170099,2,,D10‐250 ,3176781,10
D02‐889 ,,1,,D10‐275 ,3176823,10
D02‐904 ,3170222,19,,D10‐280 ,3176864,99
D02‐906 ,3170255,19,,D10‐319A ,3177011,1
D02‐924 ,3170271,3,,D10‐337A ,3177078,75
D02‐931 ,3170305,10,,D10‐337A‐5 ,3722113,1
D02‐943 ,3170347,1,,D10‐338 ,,30
D02‐944 ,3170354,2,,D10‐354 ,3177193,16
D02‐945 ,,1,,D10‐366 ,3177243,1
D02‐949 ,3170404,4,,D10‐393 ,3177474,35
D04‐S405S ,3172624,2,,D10‐424B ,3177564,1
D04‐235 ,3170982,33,,D10‐424C ,3503141,5
D04‐280 ,3171006,2,,D10‐501 ,3178035,2
D04‐316A ,,1,,D10‐505 ,3178167,5
D04‐337A ,3171139,8,,D10‐506 ,3178183,24
D04‐340 ,3171154,4,,D10‐509 ,3178209,5
D04‐355 ,3171188,2,,D10‐510 ,3178225,4
D04‐365 ,3171238,1,,D10‐513 ,3178258,7
D04‐366 ,3171246,3,,D10‐513A ,,2
D04‐383 ,3171410,99,,D10‐514 ,50095397,16
D04‐422A ,3171436,4,,D10‐516 ,3178282,3
D04‐509 ,3171832,3,,D10‐518 ,3178332,1
D04‐514 ,,6,,D10‐519 ,3178357,5
D04‐514A ,3518537,36,,D10‐520 ,3178365,4
D04‐790 ,3172137,2,,D10‐521 ,3178373,1
D04‐795 ,3172160,18,,D10‐540 ,3178464,5
D06‐A505A ,,1,,D10‐545‐5 ,3178530,2
D06‐337 ,3172715,56,,D10‐546A ,3178555,1
D06‐338A ,3172731,1,,D10‐548 ,3178571,99
D06‐505 ,3172905,5,,D10‐555 ,3178589,1
D06‐513A ,3172921,5,,D10‐799 ,3179140,8
D10‐A505A ,3617909,3,,D10‐812 ,3179298,1
D10‐A513B ,3613320,6,,D10‐955 ,3179793,7
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,17,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
D10‐956 ,3179801,4,,D6H60A‐A513 ,3248101,4
D1028CM2 ,50080696,2,,D6H60A‐A513B ,3613221,3
D13PB8A ,50014869,2,,D6H60A‐H505A ,3607678,4
D13RP38E ,50399666,3,,D6H60A‐L505A ,3612066,1
D13R48 ,50010073,2,,D6H60A‐505 ,3248085,11
D1400‐123 ,3424504,1,,D64DA30 ,50059062,17
D1400‐311 ,3424579,1,,D64R48 ,50226141,1
D15JR38 ,50016955,34,,D647JR38 ,50019264,1
D15N75 ,,1,,D65S49 ,50034222,1
D15S49 ,,6,,D66DB30 ,50051176,1
D150JA45 ,,1,,D66J50A ,50005065,1
D150J50A ,50008507,1,,D75JR38 ,50017698,2
D16S49 ,50032531,73,,D82JR38B ,50022698,9
D20‐397 ,3180502,2,,D82JR38C ,50171503,23
D207DA30 ,50057595,1,,D82J50 ,50004357,3
D232R38A ,50075621,9,,D87JR38 ,,1
D234JR38B ,50022888,1,,D92‐61 ,3118858,9
D237JR38 ,50018670,1,,D94DA35 ,50168251,6
D27X71WD ,50045970,36,,D94J50 ,,1
D290JA45 ,,1,,D94SK‐226 ,3336930,1
D298DA35 ,50165786,28,,D94SK‐26 ,3316601,2
D31PF2 ,50187020,2,,EEG‐763 ,3182755,1
D371HBD ,50034834,10,,EEG‐768 ,3182771,1
D379PB8A ,50008242,35,,EEM‐246 ,3181849,2
D429R51 ,,2,,EEM‐56 ,,1
D453URD475 ,50210541,2,,EEUD‐526A ,3183001,1
D475A ,,1,,EEUD‐753 ,3183167,1
D49DA30 ,50058890,5,,EE5M‐241 ,3181799,2
D49JA55 ,,2,,EE5M‐526A ,3182144,2
D50DB30 ,50051051,1,,EE51 ,50141498,2
D51D45 ,,1,,EE51‐526 ,3183225,2
D524URD475 ,50210491,8,,EE51‐751 ,3183241,12
D524URD475A ,,1,,EE51‐752 ,3183266,19
D53N70 ,50157023,3,,EE51‐752 ,3183266,11
D534HBC ,50288604,4,,EE51‐753 ,50141530,10
D56X71 ,,2,,EE53G‐A245 ,,1
D569PB8A ,50203066,14,,EE54 ,50141506,4
D58J30 ,,1,,EE54‐245 ,3183308,3
D58RP38E ,50007442,1,,EG20‐208 ,3577269,4
D58X71 ,,3,,EG30‐20 ,3578523,1
D6H60A‐AS377 ,3348570,2,,EU‐A516 ,3181427,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,18,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
EU‐316 ,3181278,1,,E50R48 ,50010297,2
EU‐319 ,3181286,1,,E53JR38 ,,43
EU‐364 ,3181328,1,,E53L74 ,50162213,1
EU‐366 ,,1,,E56L74 ,50162247,34
EU‐502 ,3181385,1,,E56S70 ,50173947,4
EU‐568 ,3181500,2,,E58R48 ,,1
EU‐944 ,3181781,1,,E58X71 ,50046143,1
EWQ‐676 ,,3,,E59DA30 ,50059005,12
EOO‐46 ,,5,,E614DA30 ,50056373,2
E13RP38 ,,1,,E64DA35 ,,6
E140JR38 ,50017797,10,,E64J30 ,50011733,15
E15DA35 ,,2,,E64J50 ,50004191,5
E15S49 ,,1,,E64L74 ,,1
E150JA45 ,50015528,7,,E64N75 ,,4
E150JB4 ,,1,,E64R48 ,50010784,6
E150J40 ,,1,,E65X72 ,50069954,8
E16S49 ,,1,,E66D45 ,,2
E177JA45 ,,1,,E66J50A ,50005073,1
E228X71 ,,1,,E66PB6 ,,1
E23RDC50 ,50006220,1,,E66R48 ,50011154,3
E232R48 ,,1,,E68J40 ,50003185,97
E259S49 ,50035930,3,,E683D45 ,50015759,17
E265D45 ,50015718,12,,E71PF2 ,,4
E274DA30 ,50056258,3,,E82JR38B ,50022706,4
E282X71WD ,,1,,E82JR38C ,50171537,17
E3DRD2 ,50006659,1,,E9G‐35 ,3182284,1
E3G‐750A ,3182490,1,,E9G‐364 ,3182334,1
E3G‐751A ,3182557,1,,E9G‐365 ,3182359,1
E3G‐752 ,,1,,E9G‐369 ,3182367,1
E3G‐753 ,,1,,E9G‐750 ,3182516,1
E3G‐756 ,,1,,E9G‐751 ,3182565,1
E331CM2 ,50119957,1,,E9G‐768 ,,1
E371HBD ,50034842,8,,E9G‐769 ,,1
E46JHM ,50034933,3,,E954CM150A ,50212059,2
E49DA35 ,,13,,FC‐3C15‐8‐3 ,50256429,6
E5UD‐501 ,3182896,6,,FEA100‐32 ,3106879,4
E5UD‐505 ,3182912,34,,FEA100‐5 ,3339579,7
E5UD‐509 ,3182920,8,,FM‐500 ,3109865,1
E5UD‐525 ,,1,,FM‐501 ,3109949,5
E5UD‐525AS ,3182987,11,,FM‐503 ,3109980,11
E50JA35 ,50013176,14,,FM‐504 ,3110004,4
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,19,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
FM‐505 ,3110012,13,,FMC2‐331 ,,4
FM‐506 ,3110038,6,,FMC2‐40 ,3109568,1
FM‐508 ,3110061,2,,FMC2‐406 ,3109790,6
FM‐513 ,3110095,19,,FMC2‐509 ,3110087,8
FM‐514 ,3110111,6,,FMC2‐527‐5 ,3110376,2
FM‐515 ,3110152,5,,FMD2 ,,1
FM‐517 ,3110160,11,,FMD2‐A560B ,3110715,1
FM‐520 ,3110210,11,,FMD2‐500 ,3109915,1
FM‐522 ,3110236,27,,FMD2‐518 ,3110202,18
FM‐523 ,3110244,11,,FMD2‐524 ,3110251,5
FM‐526 ,3306297,48,,FMD2‐525A ,3110293,11
FM‐527 ,3110350,47,,FMD2‐562 ,3110798,3
FM‐527‐7 ,3110368,8,,FMD2‐760 ,3111044,7
FM‐534 ,3110475,2,,FMD2‐761 ,3111069,7
FM‐536 ,3110517,5,,F02‐15 ,3025558,4
FM‐542 ,3110574,1,,F1X71WD ,50044619,8
FM‐545 ,3110608,2,,F150S49 ,,1
FM‐548 ,50374560,2,,F157X71WD ,50308345,1
FM‐552 ,3110657,12,,F228R72 ,,5
FM‐556 ,3110673,4,,F229S49 ,50035898,8
FM‐561A ,3110756,37,,F265D45 ,,2
FM‐562A ,3110780,9,,F274DA35 ,50165752,3
FM‐563 ,3110814,19,,F289JA45 ,,2
FM‐564 ,3110822,8,,F49L74 ,,1
FM‐566A ,3110848,1,,F50JA35 ,50013184,3
FM‐567 ,3110863,2,,F50JA55 ,50008622,2
FM‐568 ,3110871,2,,F53JR38 ,,1
FM‐633 ,3110913,18,,F53JR38C ,50172816,99
FM‐639 ,3110939,59,,F53JR38C‐C ,50172824,15
FMB2‐A560A ,3110699,2,,F56S70 ,50173939,3
FMB2‐164 ,,13,,F58DA30 ,,1
FMB2‐513 ,3110103,3,,F58X71 ,50046150,18
FMB2‐518 ,3110194,3,,F64L74 ,,1
FMB2‐525 ,3110277,1,,F64R38 ,,1
FMB2‐534 ,3110483,16,,F64R48 ,50010792,1
FMB2‐535 ,3110509,3,,F65X72 ,50069962,2
FMC2‐10 ,,2,,GA1S‐4 ,3127826,1
FMC2‐266 ,,1,,GHSG43 ,50555713,2
FMC2‐283 ,3109709,23,,GH1002NP ,,2
FMC2‐3 ,3109345,1,,GH24NES57 ,,99
FMC2‐330 ,3109725,11,,GL53X4711R1 ,50135797,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,20,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
GRE‐K22001 ,50276732,1,,H‐32A ,3032877,7
G120‐A4 ,3467552,1,,H‐382 ,3033131,7
G120‐291 ,3411980,1,,H‐4A ,,1
G120‐699 ,3411998,2,,H‐64 ,3032927,1
G120‐700‐4 ,,1,,H‐82 ,3032935,10
G120‐98 ,3434503,1,,H‐85A ,,1
G120C‐A11A ,3434677,1,,HH‐108 ,3032059,2
G120C‐122 ,3412343,1,,HH‐196 ,3032166,1
G120C‐124 ,3412301,1,,HH‐266 ,,1
G160‐21A ,3473444,10,,HH‐3 ,3031440,2
G160‐42A ,3434958,20,,HH‐32 ,3031879,7
G160‐42A‐5 ,3564176,1,,HH‐603 ,3032380,9
G160HD‐700 1/4 ,3493962,4,,HH‐607 ,3032406,1
G476PHBR ,50354356,2,,HH‐8A ,3031861,4
G49R51 ,,1,,HH‐85A ,,2
G50S49 ,,14,,HH‐869 ,,1
G50X71 ,50046028,2,,HHM‐526A ,3187184,3
G53JR38C ,50171404,9,,HHW1‐213 ,3032190,43
G57‐729 ,3085628,4,,HHW1‐216 ,3032208,99
G57T‐634 ,3085560,2,,HHW3‐AR6 ,3401189,3
G60DA30 ,,1,,HHW4‐AR6 ,3400074,4
G601‐27B ,3024668,3,,HH1‐1190 ,3032414,6
G601‐411 ,3024825,15,,HH1‐1191 ,3467263,2
G601‐95 ,3024809,3,,HH1‐1191‐4 ,3467594,1
G6329 ,,4,,HH1‐1194 ,,2
G64R48 ,,1,,HH1‐5 ,3031507,2
G7‐142F ,3025079,1,,HH2A‐AH106 ,3388386,1
G7‐17 ,3024841,2,,HH3‐AR106 ,3402120,2
G7‐24 ,3024882,8,,HH4‐AR106 ,3388360,1
G7‐27 ,3024908,1,,HH5D‐L505A ,3606118,18
G7‐389 ,3025095,25,,HH5D‐501 ,3187879,3
G700‐4 ,3379021,1,,HH5D‐505 ,3187895,27
G700‐51 ,3379203,4,,HH5D‐509 ,3187903,10
G700‐654 ,3379393,4,,HH5D‐525 ,3187937,1
G700‐86 ,3379237,1,,HH5D‐525S ,3187952,5
G8‐120A ,3025186,6,,HH5D‐526 ,3187960,2
H‐110 ,,4,,HH5M‐526 ,3187226,13
H‐2 ,3032810,6,,HH5UM‐744 ,,2
H‐282 ,3033024,16,,HH53‐555A ,3453081,1
H‐282‐12 ,3033032,4,,HH54 ,1177013,2
H‐3 ,3032836,4,,HH54‐H505 ,3608718,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,21,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
HH92‐74 ,3031903,2,,HU‐A574 ,3185550,6
HI451080 ,50089549,8,,HU‐K744A ,3709953,1
HLA60A‐A380 ,3251261,1,,HU‐145 ,3183944,2
HLK‐191 ,3694437,3,,HU‐157 ,3184025,10
HLK‐21 ,,1,,HU‐158 ,,1
HLK‐322 ,3694445,2,,HU‐316B ,3835386,1
HLK‐457 ,3694783,2,,HU‐319A ,3184116,1
HLK‐97 ,3694791,2,,HU‐337 ,3184249,99
HL3000K‐465 ,3694908,4,,HU‐337‐5 ,,6
HM‐270 ,3186921,1,,HU‐338 ,3184298,21
HM‐292 ,3187044,1,,HU‐338‐5 ,3722147,1
HM‐294 ,,1,,HU‐348 ,,1
HM‐298 ,3187093,2,,HU‐352 ,3184330,1
HM‐526 ,3187150,1,,HU‐358 ,,2
HM‐526R ,3187168,3,,HU‐359 ,3184405,1
HP‐PR‐1300‐1 ,50536580,2,,HU‐363 ,3184421,1
HP‐PR‐1300‐17 ,50536747,4,,HU‐364 ,3184439,1
