,,CHICAGO PNEUMATIC COMPRESSORS ,,,,,
Part Number ,Qty ,,Part Number,Qty ,,Part Number ,Qty 
,,,60PS133 ,1,,91PS423 ,5
1-01-00001 ,4,,76PS133 ,1,,2PS452 ,1
1-01-00004 ,2,,58PS135 ,3,,4PS457 ,5
2PS5 ,1,,63P0150 ,1,,18PS462 ,2
10PS5 ,19,,129P0150 ,99,,1PS465 ,9
1-01-00007 ,4,,122PS182 ,2,,256PS485 ,2
6PS10 ,16,,247PS182 ,2,,5PS493 ,4
7PS10 ,24,,656PS182 ,4,,3PS544 ,5
18PS10 ,3,,3PS187 ,2,,12PS552 ,8
35PS10 ,1,,1PS196 ,20,,1E553 ,1
155PS14 ,1,,2PS196 ,34,,17PS570 ,1
5PS19 ,1,,5PS196 ,6,,20PS570 ,1
P0024 ,2,,17PS196 ,9,,2E578 ,2
16PS27 ,21,,27PS196 ,19,,12PS617 ,2
124PS27 ,2,,28PS196 ,23,,16PS617 ,5
5PS31 ,6,,31PS196 ,21,,19PS617 ,5
47PS33 ,1,,70PS196 ,2,,21PS617 ,3
238PS33 ,2,,7PS213 ,4,,1PS627 ,4
240PS33 ,5,,7PS220 ,1,,1PS632 ,1
243PS33 ,5,,14PS220 ,7,,11PS670 ,4
247PS33 ,3,,16PS220 ,8,,2PS676 ,2
258PS33 ,4,,18PS220 ,2,,3PS676 ,99
268PS33 ,3,,1PS229 ,1,,9PS676 ,2
438PS33 ,2,,2PS229 ,1,,2PS679 ,1
443PS33 ,7,,12PS235 ,1,,1PS700 ,1
455PS33 ,3,,118PS236 ,2,,1PS757 ,1
9PS35 ,9,,5PS237 ,4,,2PS757 ,4
11PS38 ,15,,57P0239 ,2,,73P764 ,2
19PS38 ,1,,1PS254 ,2,,3PS790 ,60
28PS38 ,2,,78PS268 ,1,,109PS799 ,2
5PS44 ,23,,96PS268 ,2,,133PS799 ,4
8PS44 ,4,,123PS268 ,1,,1PS808 ,1
65PS50 ,8,,4PS279 ,36,,51PS808 ,8
66PS50 ,4,,,3,,38PS830 ,12
15PS66 ,1,,32PS298 ,1,,62PS830 ,22
1002PS110 ,2,,1PS325 ,3,,81PS830 ,1
7B115 ,1,,1PS327 ,3,,3PS843 ,7
94PS115 ,1,,6PS399 ,3,,5PS860 ,1
1PS132 ,6,,1PS400 ,20,,12PS877 ,2
40PS132 ,3,,B26PS400 ,12,,3PS878 ,99
43PS132 ,1,,19PS423 ,2,,10PS878 ,99
,,"LC VOUGHT, CHICAGO PNEUMATIC COMPRESSOR LIST, PAGE 1 ",,,,,
,,CHICAGO PNEUMATIC COMPRESSORS ,,,,,
Part Number ,Qty ,,Part Number,Qty ,,Part Number ,Qty 
1PS897 ,4,,88P2028 ,1,,1P2436 ,1
5PS905 ,3,,90P2028 ,5,,6PS2451 ,15
2PS911 ,2,,107P2028 ,1,,7PS2451 ,6
1PS926 ,2,,112P2028 ,2,,11PS2451 ,9
59P944 ,2,,53PS2031 ,1,,21PS2457 ,1
60P0944 ,2,,2PS2096 ,2,,56P2488 ,22
260PS985 ,4,,4PS2096 ,1,,1PS2498 ,2
AL1000 ,1,,P2145 ,2,,51PS2565 ,2
3FPS1008 ,14,,2PS2156 ,2,,52PS2587 ,1
1PS1128 ,4,,2PS2162 ,1,,57PS2587 ,1
1PS1145 ,1,,3PS2162 ,8,,58PS2587 ,1
2PS1145 ,99,,5PS2162 ,1,,70PS2587 ,1
8P1162 ,8,,15PS2162 ,1,,54PS2628 ,4
AL1218 ,2,,20PS2162 ,1,,137PS2644 ,2
8PS1224 ,22,,37PS2162 ,10,,143PS2644 ,2
8PS1238 ,47,,6B2172 ,2,,183PS2644 ,2
L8PS1238 ,20,,6P2173 ,1,,2PS2711 ,3
5P1249 ,1,,56P2177 ,3,,51PS2730 ,2
54FR1258 ,1,,57P2177 ,28,,52PS2730 ,3
21PS1292 ,2,,64P2177 ,3,,53PS2730 ,2
3PS1380 ,99,,S57PS2180 ,2,,59PS2730 ,6
A35PS1465 ,2,,5714PS2182 ,2,,118PS2730 ,2
1PS1497 ,6,,11PS2203 ,4,,13PS2734 ,1
14PS1542 ,1,,2PS2270 ,1,,74PS2745 ,22
7PS1604 ,2,,9PS2270 ,7,,57PS2746 ,1
AL1766 ,1,,10PS2270 ,2,,64PS2746 ,99
